IV,2023-10-25_NABITA014.13_4,ch1,"[220.32  228.854 236.902 243.346 246.95  246.95  243.346 236.902 228.854
 220.32  211.813 203.449 195.312 187.418 179.704 172.087 164.505 156.927
 149.411 142.097 135.173 128.813 123.121 118.125 113.78  109.982 106.621
 103.617 100.913  98.464  96.256  94.305  92.604  91.117  89.828  88.738
  87.85   87.158  86.669  86.35   86.11   85.878  85.622  85.342  85.06
  84.815  84.654  84.582  84.567  84.593  84.634  84.682  84.769  84.937
  85.19   85.479  85.735  85.916  86.021  86.107  86.249  86.456  86.694
  86.928  87.154  87.372  87.573  87.76   87.931  88.079  88.211  88.343
  88.478  88.626  88.808  89.04   89.301  89.547  89.74   89.862  89.98
  90.209  90.594  91.096  91.611  92.032  92.296  92.413  92.474  92.546
  92.638  92.729  92.79   92.806  92.778  92.734  92.727  92.797  92.945
  93.139  93.349  93.542  93.691  93.802  93.907  94.029  94.166  94.321
  94.504  94.683  94.825  94.921  94.983  95.037  95.142  95.365  95.722
  96.179  96.7    97.252  97.796  98.301  98.763  99.203  99.662 100.181
 100.776 101.443 102.173 103.034 104.149 105.56  107.178 108.808 110.254
 111.407 112.274 112.965 113.58  114.14  114.648 115.11  115.542 115.952
 116.338 116.702 117.042 117.357 117.677 118.046 118.472 118.925 119.362
 119.743 120.036 120.237 120.377 120.495 120.615 120.754 120.93  121.161
 121.463 121.841 122.289 122.777 123.254 123.675 124.05  124.454 124.957
 125.575 126.276 126.98  127.612 128.149 128.637 129.144 129.697 130.304
 130.978 131.67  132.252 132.585 132.585 132.252 131.67  130.978 130.304]"
FNL,2023-10-24_NABITA012.23_3,ch2,"[249.261 268.917 288.187 304.008 313.001 313.001 304.008 288.187 268.917
 249.261 230.654 213.426 197.853 184.13  172.34  162.416 154.165 147.337
 141.667 136.881 132.787 129.26  126.206 123.518 121.079 118.732 116.258
 113.484 110.39  107.082 103.735 100.534  97.609  95.002  92.694  90.654
  88.846  87.236  85.787  84.467  83.268  82.196  81.259  80.464  79.82
  79.32   78.949  78.691  78.526  78.423  78.356  78.304  78.261  78.24
  78.266  78.355  78.502  78.692  78.912  79.148  79.377  79.579  79.754
  79.915  80.095  80.33   80.628  80.941  81.208  81.403  81.541  81.666
  81.816  82.007  82.216  82.405  82.556  82.672  82.767  82.866  82.981
  83.112  83.266  83.459  83.721  84.074  84.507  84.976  85.436  85.862
  86.245  86.578  86.854  87.079  87.264  87.433  87.616  87.827  88.062
  88.317  88.597  88.91   89.268  89.68   90.148  90.661  91.218  91.829
  92.499  93.228  93.989  94.741  95.483  96.3    97.293  98.478  99.786
 101.108 102.354 103.516 104.68  105.943 107.25  108.361 109.006 109.006
 108.361 107.25  105.943 104.68 ]"
